Player,Number_toppings,Distribution,Run,U,B,C,S,Slice Metric,Center offset,Time to make,Time to cut
1,2,0,0,18.744,85.13799999999998,66.963,18.175000000000008,210.72214225756795,19.0,26.77337908744812,7.270287990570068
1,2,1,0,27.48,107.85400000000001,87.3,20.554000000000006,212.91883578188822,22.999999999999996,26.764108896255493,7.255844831466675
1,2,3,0,18.744,85.13799999999998,66.963,18.175000000000008,210.72214225756795,19.0,27.82022190093994,7.977656841278076
1,3,0,0,55.977999999999994,96.621,78.535,18.086000000000006,259.6140341227273,32.0,54.357057094573975,7.2912211418151855
1,3,1,0,75.066,162.68099999999998,135.804,26.877000000000006,267.416783458835,33.0,57.64930200576782,7.822311162948608
1,3,3,0,27.96,96.621,77.927,18.694000000000006,215.3916433671789,34.0,55.0995569229126,7.207430362701416
1,4,0,0,28.896000000000004,113.65799999999999,82.59899999999999,31.059000000000005,240.29207187791485,29.0,70.98866581916809,8.06771969795227
1,4,1,0,51.17399999999999,190.981,143.096,47.885000000000005,261.13910930035786,37.0,71.83455920219421,7.869796276092529
1,4,3,0,29.372000000000007,113.65799999999999,82.711,30.947000000000003,243.1458644426123,27.0,65.44848012924194,7.404681921005249
2,2,0,0,0.0,85.13799999999998,68.401,16.737000000000005,160.03325237219218,13.414213562373096,0.007684946060180664,46.13114070892334
2,2,1,0,0.0,107.85400000000001,91.731,16.123,175.2235382420405,10.656854249492381,0.007906913757324219,46.53337216377258
2,2,3,0,0.0,85.13799999999998,68.401,16.737000000000005,160.03325237219218,13.414213562373096,0.006612062454223633,47.1538348197937
2,3,0,0,0.0,96.621,79.46899999999998,17.152000000000005,169.6281885992349,10.363961030678928,0.007782936096191406,48.65388464927673
2,3,1,0,0.0,162.68099999999998,154.34699999999998,8.334000000000001,200.66360831822553,11.535533905932738,0.008989810943603516,46.080971002578735
2,3,3,0,0.0,96.621,79.46899999999998,17.152000000000005,169.6281885992349,10.363961030678928,0.009504079818725586,45.63669013977051
2,4,0,0,0.0,113.65799999999999,88.482,25.176000000000002,212.26818030590138,14.82842712474619,0.007630825042724609,46.033955812454224
2,4,1,0,0.0,190.981,161.91000000000003,29.070999999999998,227.06777107342904,15.121320343559642,0.009349822998046875,47.61919641494751
2,4,3,0,0.0,113.65799999999999,88.482,25.176000000000002,212.26818030590138,14.82842712474619,0.008018016815185547,48.44364070892334
3,2,0,0,0.0,85.13799999999998,75.37700000000001,9.761000000000003,145.5469039689989,49.5,0.0007419586181640625,64.03640723228455
3,2,1,0,0.0,107.85400000000001,96.27900000000001,11.575000000000001,159.53804459583313,49.5,0.0005819797515869141,64.86767339706421
3,2,3,0,0.0,85.13799999999998,75.37700000000001,9.761000000000003,145.5469039689989,49.5,0.0005369186401367188,66.20677304267883
3,3,0,0,9.89,96.621,95.462,1.1590000000000016,197.0107760157659,55.0,0.0022530555725097656,65.90939497947693
3,3,1,0,9.89,162.68099999999998,163.503,-0.8219999999999996,221.83192372347202,55.0,0.000492095947265625,65.14511704444885
3,3,3,0,9.89,96.621,95.462,1.1590000000000016,197.0107760157659,55.0,0.0005071163177490234,72.83749008178711
3,4,0,0,15.076000000000002,113.65799999999999,110.87299999999999,2.784999999999999,178.72449418250775,49.5,0.0006129741668701172,68.47986626625061
3,4,1,0,15.076000000000002,190.981,178.134,12.847000000000005,233.44813524957198,55.0,0.0007762908935546875,73.66010117530823
3,4,3,0,15.076000000000002,113.65799999999999,110.87299999999999,2.784999999999999,178.72449418250775,49.5,0.0006241798400878906,68.44698452949524
4,2,0,0,0.0,85.13799999999998,66.972,18.166,202.82130179984844,47.499999999999986,0.0006468296051025391,0.0001323223114013672
4,2,1,0,0.0,107.85400000000001,87.14800000000001,20.706000000000003,227.6445650898578,47.5,0.0011990070343017578,7.700920104980469e-05
4,2,3,0,0.0,85.13799999999998,66.972,18.166,202.82130179984844,47.499999999999986,0.0005831718444824219,6.365776062011719e-05
4,3,0,0,18.57,96.621,77.92400000000002,18.697000000000006,213.1872526171629,33.75,0.0009388923645019531,2.7201151847839355
4,3,1,0,18.57,162.68099999999998,137.81099999999998,24.870000000000008,216.37736113112635,35.25,0.0008130073547363281,2.928356885910034
4,3,3,0,18.57,96.621,77.92400000000002,18.697000000000006,213.1872526171629,33.75,0.0008409023284912109,3.0577518939971924
4,4,0,0,35.764,113.65799999999999,83.073,30.585,214.1567700564775,29.25,0.0008599758148193359,3.4952850341796875
4,4,1,0,35.764,190.981,151.008,39.973000000000006,218.77313199445777,26.5,0.000865936279296875,3.114572048187256
4,4,3,0,35.764,113.65799999999999,83.073,30.585,214.1567700564775,29.25,0.0009181499481201172,3.2349469661712646
5,2,0,0,0.0,85.13799999999998,68.012,17.126,238.3744406784501,32.501266385109474,0.00017189979553222656,3.886222839355469e-05
5,2,1,0,0.0,107.85400000000001,87.628,20.226000000000003,293.3472189881048,32.50126638510948,0.0001678466796875,2.86102294921875e-05
5,2,3,0,0.0,85.13799999999998,68.012,17.126,238.3744406784501,32.501266385109474,0.00015306472778320312,2.7418136596679688e-05
5,3,0,0,13.299999999999999,96.621,78.59700000000001,18.024,255.65031651888253,44.96280599289017,0.0004868507385253906,0.9714338779449463
5,3,1,0,13.299999999999999,162.68099999999998,136.18,26.501,274.11726632838054,39.65135658258614,0.00043702125549316406,0.9463348388671875
5,3,3,0,13.299999999999999,96.621,78.59700000000001,18.024,255.65031651888253,44.96280599289017,0.0004260540008544922,1.0029799938201904
5,4,0,0,9.364,113.65799999999999,84.374,29.284,252.06729884161606,36.379590855109036,0.0007300376892089844,1.0318875312805176
